"muiid","MLRARSYM","affinity","LRU","best","ofbest","compname","coiid","dmuiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site"
160201,"98",17.5855915990111,"98",68.4757598264605,25.6814844312478,"Histosols",237869,119312,"5cps","Histosols, ponded",17.6681815638687,TRUE,100,"histosols",NA,"Histosols","very poorly",1,250,250,0,0,0,0,65,0,6.5,0,0,0,0,65,0,"none",152,0,"organic, herbaceous material",NA,"depression","yes","no",0,"M2 Mucky Depression"
2598174,"111B",12.532604610184,"111B",46.3938581247872,27.0134994517477,"Houghton",2246283,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",17.4696458810019,TRUE,85,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",0.5,250,250,4.4,0,0,0,72,20.0999993085861,5.87999992370605,5.6,0,0,0,74,62.0999979972839,"none",200,0,"organic, herbaceous material",NA,"depression & moraine","yes","no",0,"M2 Mucky Depression"
2598174,"111B",12.532604610184,"111B",46.3938581247872,27.0134994517477,"Muskego",2246285,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",17.4696458810019,FALSE,7,"histosols","limnic haplosaprists","Coprogenous, euic, mesic Limnic Haplosaprists","very poorly",0.5,250,250,5,0,0,0,75,19.4999992847443,5.80000019073486,4.46,2.16,37.8,14.04,53.4,34.1999993026257,"none",200,0,"organic, herbaceous material & coprogenic material",NA,"depression & moraine","yes","no",0,"M2 Mucky Depression"
2598174,"111B",12.532604610184,"111B",46.3938581247872,27.0134994517477,"Palms",2246284,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",17.4696458810019,FALSE,8,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0.5,89,250,5,0,0,0,65,19.4999992847443,5.69999980926514,5,13.8266666666667,13.42,13.42,38.77,38.3699986450374,"none",89,0,"organic, herbaceous material & drift","sandstone and shale","depression & moraine","yes","no",0,"M2 Mucky Depression"
2598174,"98",38.8754268488944,"98",46.3938581247872,83.7943392082844,"Houghton",2246283,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",17.4696458810019,TRUE,85,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",0.5,250,250,4.4,0,0,0,72,20.0999993085861,5.87999992370605,5.6,0,0,0,74,62.0999979972839,"none",200,0,"organic, herbaceous material",NA,"depression & moraine","yes","no",0,"M2 Mucky Depression"
2598174,"98",38.8754268488944,"98",46.3938581247872,83.7943392082844,"Muskego",2246285,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",17.4696458810019,FALSE,7,"histosols","limnic haplosaprists","Coprogenous, euic, mesic Limnic Haplosaprists","very poorly",0.5,250,250,5,0,0,0,75,19.4999992847443,5.80000019073486,4.46,2.16,37.8,14.04,53.4,34.1999993026257,"none",200,0,"organic, herbaceous material & coprogenic material",NA,"depression & moraine","yes","no",0,"M2 Mucky Depression"
2598174,"98",38.8754268488944,"98",46.3938581247872,83.7943392082844,"Palms",2246284,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",17.4696458810019,FALSE,8,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0.5,89,250,5,0,0,0,65,19.4999992847443,5.69999980926514,5,13.8266666666667,13.42,13.42,38.77,38.3699986450374,"none",89,0,"organic, herbaceous material & drift","sandstone and shale","depression & moraine","yes","no",0,"M2 Mucky Depression"
2598174,"111C",46.3938581247872,"111C",46.3938581247872,100,"Houghton",2246283,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",17.4696458810019,TRUE,85,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",0.5,250,250,4.4,0,0,0,72,20.0999993085861,5.87999992370605,5.6,0,0,0,74,62.0999979972839,"none",200,0,"organic, herbaceous material",NA,"depression & moraine","yes","no",0,"M2 Mucky Depression"
2598174,"111C",46.3938581247872,"111C",46.3938581247872,100,"Muskego",2246285,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",17.4696458810019,FALSE,7,"histosols","limnic haplosaprists","Coprogenous, euic, mesic Limnic Haplosaprists","very poorly",0.5,250,250,5,0,0,0,75,19.4999992847443,5.80000019073486,4.46,2.16,37.8,14.04,53.4,34.1999993026257,"none",200,0,"organic, herbaceous material & coprogenic material",NA,"depression & moraine","yes","no",0,"M2 Mucky Depression"
2598174,"111C",46.3938581247872,"111C",46.3938581247872,100,"Palms",2246284,692368,"2t6m2","Houghton muck, disintegration moraine, 0 to 2 percent slopes",17.4696458810019,FALSE,8,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0.5,89,250,5,0,0,0,65,19.4999992847443,5.69999980926514,5,13.8266666666667,13.42,13.42,38.77,38.3699986450374,"none",89,0,"organic, herbaceous material & drift","sandstone and shale","depression & moraine","yes","no",0,"M2 Mucky Depression"
160203,"111B",23.211762157171,"111B",74.8364684454768,31.0166455463919,"Adrian",286154,155023,"5cpv","Houghton muck, drained",17.7412498875668,FALSE,7,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,86,250,0,0,0,0,75,20.0000002980232,6.73,3.84,37.9733333333333,2.56,2.13333333333333,43.1280000050863,38.2400004267693,"none",86,0,"organic, herbaceous material & outwash",NA,"depression & till plain & outwash plain & lake plain","yes","no",0,"M2 Mucky Depression"
160203,"111B",23.211762157171,"111B",74.8364684454768,31.0166455463919,"Houghton",283326,155023,"5cpv","Houghton muck, drained",17.7412498875668,TRUE,75,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",1,250,250,0,0,0,0,75,20.0000002980232,6.73,0,0,0,0,75,60.0000008940697,"none",203,0,"organic, herbaceous material",NA,"depression & outwash plain & till plain & lake plain & moraine","yes","no",0,"M2 Mucky Depression"
160203,"111B",23.211762157171,"111B",74.8364684454768,31.0166455463919,"Edwards",286156,155023,"5cpv","Houghton muck, drained",17.7412498875668,FALSE,7,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0.5,61,250,0,0,0,0,75,20.0000002980232,6.73,0,10.0866666666667,38.5666666666667,10.68,36.4333333333333,24.4000003635883,"none",203,0,"organic, herbaceous material & marl",NA,"depression & lake plain & outwash plain & till plain","yes","no",0,"M2 Mucky Depression"
