"compname","MLRARSYM","Count","total","percentmlra","ctotal","affinity"
"Adams","145",19060,24898413,0.0765510637163903,6.44954187163475,1.19
"Adams","144A",310974,194998048,0.159475442543917,6.44954187163475,2.47
"Adams","142",940886,51240559,1.83621337932711,6.44954187163475,28.47
"Adams","144B",3918281,331949767,1.18038371751591,6.44954187163475,18.3
"Adams","143",11359758,493943103,2.29981103714288,6.44954187163475,35.66
"Adams","101",119129,72267250,0.164845071591904,6.44954187163475,2.56
"Adamstown","130A",19,11575167,0.000164144500031835,0.314847033559366,0.05
"Adamstown","148",312946,99448051,0.314682889059334,0.314847033559366,99.95
"Ade","111D",7272,41553717,0.0175002395092598,0.163702059664584,10.69
"Ade","98",87040,175031822,0.0497281002993844,0.163702059664584,30.38
"Ade","115",25614,33107001,0.0773673217939613,0.163702059664584,47.26
"Ade","110",10799,56520334,0.0191063980619789,0.163702059664584,11.67
"Adeland","111D",1905,41553717,0.00458442742919966,0.00458442742919966,100
"Adelphia","153D",5945,62896151,0.00945208872956312,1.46775489821451,0.64
"Adelphia","153C",7955,23918134,0.0332592835210305,1.46775489821451,2.27
"Adelphia","149A",443890,31149224,1.42504352596392,1.46775489821451,97.09
"Aden","148",6088,99448051,0.00612178915401771,0.00673175619525122,90.94
"Aden","149A",190,31149224,0.000609967041233515,0.00673175619525122,9.06
"Adirondack","144A",6776,194998048,0.00347490657957766,3.25303307884312,0.11
"Adirondack","143",9353832,493943103,1.89370636884872,3.25303307884312,58.21
"Adirondack","101",3997,72267250,0.00553085941418831,3.25303307884312,0.17
"Adirondack","142",691912,51240559,1.35032094400063,3.25303307884312,41.51
"Adjidaumo","143",13449,493943103,0.00272278323521809,2.58404786089075,0.11
"Adjidaumo","101",19491,72267250,0.0269707232529258,2.58404786089075,1.04
"Adjidaumo","142",1304576,51240559,2.54598315369666,2.58404786089075,98.53
"Adjidaumo","141",765,9138474,0.00837120070593843,2.58404786089075,0.32
"Adrian","94C",57298,33684714,0.170100895023185,9.3701512333603,1.82
"Adrian","94A",287883,91610663,0.314246170230206,9.3701512333603,3.35
"Adrian","99",241212,107369567,0.224655837533554,9.3701512333603,2.4
"Adrian","111D",14712,41553717,0.0354047749807797,9.3701512333603,0.38
"Adrian","124",13,127505241,1.01956593297996e-05,9.3701512333603,0
"Adrian","144A",35119,194998048,0.0180099238736995,9.3701512333603,0.19
"Adrian","114A",1180,24974392,0.00472483974785052,9.3701512333603,0.05
"Adrian","111C",659064,28641418,2.30108718779217,9.3701512333603,24.56
"Adrian","148",1146,99448051,0.00115236044193566,9.3701512333603,0.01
"Adrian","140",1379,203269067,0.000678411142606366,9.3701512333603,0.01
"Adrian","111B",176667,91807049,0.192432936168115,9.3701512333603,2.05
"Adrian","139",21149,85510805,0.0247325469570775,9.3701512333603,0.26
"Adrian","143",56351,493943103,0.0114083989952989,9.3701512333603,0.12
"Adrian","97",659585,34895370,1.89017912691569,9.3701512333603,20.17
"Adrian","98",4299556,175031822,2.45644246335961,9.3701512333603,26.22
"Adrian","96",635791,44104308,1.44156212585854,9.3701512333603,15.38
"Adrian","141",192,9138474,0.00210100723600023,9.3701512333603,0.02
"Adrian","101",17579,72267250,0.0243249881516178,9.3701512333603,0.26
"Adrian","108",27474,51640704,0.0532022181572118,9.3701512333603,0.57
"Adrian","115",1193,33107001,0.00360346743578496,9.3701512333603,0.04
"Adrian","110",58141,56520334,0.102867403437496,9.3701512333603,1.1
"Adrian","144B",27965,331949767,0.00842446742853114,9.3701512333603,0.09
