"dmuiid"	"region"
176977	"r12"
148445	"r12"
176978	"r12"
148446	"r12"
148447	"r12"
168993	"r12"
168994	"r12"
168995	"r12"
148448	"r12"
148449	"r12"
148450	"r12"
148451	"r12"
148452	"r12"
148453	"r12"
148454	"r12"
148455	"r12"
168997	"r12"
168998	"r12"
168999	"r12"
169000	"r12"
169001	"r12"
461223	"r12"
148456	"r12"
148457	"r12"
148458	"r12"
148459	"r12"
148460	"r12"
148461	"r12"
148462	"r12"
148463	"r12"
148464	"r12"
169006	"r12"
169007	"r12"
169008	"r12"
169009	"r12"
169010	"r12"
169011	"r12"
148465	"r12"
176981	"r12"
148466	"r12"
176982	"r12"
148467	"r12"
148468	"r12"
148469	"r12"
148470	"r12"
148471	"r12"
148472	"r12"
169018	"r12"
169019	"r12"
169020	"r12"
169021	"r12"
169022	"r12"
148473	"r12"
148474	"r12"
148475	"r12"
148476	"r12"
169023	"r12"
148477	"r12"
148478	"r12"
148479	"r12"
169024	"r12"
169025	"r12"
169026	"r12"
169027	"r12"
148480	"r12"
148481	"r12"
148482	"r12"
148483	"r12"
461222	"r12"
169030	"r12"
169031	"r12"
169032	"r12"
148484	"r12"
169033	"r12"
169034	"r12"
169035	"r12"
169036	"r12"
169037	"r12"
169038	"r12"
176992	"r12"
169039	"r12"
169040	"r12"
169041	"r12"
169042	"r12"
169043	"r12"
463167	"r12"
169044	"r12"
169045	"r12"
148485	"r12"
148486	"r12"
148487	"r12"
148488	"r12"
169046	"r12"
169047	"r12"
169048	"r12"
169049	"r12"
169050	"r12"
169051	"r12"
169052	"r12"
169053	"r12"
169054	"r12"
169055	"r12"
169056	"r12"
169057	"r12"
148489	"r12"
148490	"r12"
148491	"r12"
148492	"r12"
169061	"r12"
169062	"r12"
169063	"r12"
463168	"r12"
148493	"r12"
148494	"r12"
169064	"r12"
148496	"r12"
148495	"r12"
169065	"r12"
177001	"r12"
461315	"r12"
404780	"r12"
169066	"r12"
404783	"r12"
148497	"r12"
148498	"r12"
169067	"r12"
169068	"r12"
169070	"r12"
169071	"r12"
169073	"r12"
169072	"r12"
169074	"r12"
169075	"r12"
169076	"r12"
169077	"r12"
169079	"r12"
169082	"r12"
177018	"r12"
169083	"r12"
169084	"r12"
461317	"r12"
169085	"r12"
169086	"r12"
169087	"r12"
461318	"r12"
169088	"r12"
169089	"r12"
169090	"r12"
169091	"r12"
169092	"r12"
461319	"r12"
169097	"r12"
407071	"r12"
404832	"r12"
169098	"r12"
169099	"r12"
148499	"r12"
169100	"r12"
169101	"r12"
169103	"r12"
169104	"r12"
404839	"r12"
148500	"r12"
148501	"r12"
404840	"r12"
148503	"r12"
148504	"r12"
148505	"r12"
148506	"r12"
148507	"r12"
148508	"r12"
148509	"r12"
148510	"r12"
148511	"r12"
148512	"r12"
148516	"r12"
148517	"r12"
148518	"r12"
148519	"r12"
148520	"r12"
148521	"r12"
148522	"r12"
148523	"r12"
148524	"r12"
148525	"r12"
148526	"r12"
148527	"r12"
148528	"r12"
148529	"r12"
148530	"r12"
148531	"r12"
148532	"r12"
148533	"r12"
148534	"r12"
148535	"r12"
148536	"r12"
148537	"r12"
148538	"r12"
148539	"r12"
148540	"r12"
148541	"r12"
148542	"r12"
