"coiid","SiteID","nationalmusym","muname"
251559,"F099XY007MI","5s3l","Del Rey silt loam, 0 to 2 percent slopes"
251559,"F139XY002OH","5s3l","Del Rey silt loam, 0 to 2 percent slopes"
251562,"F139XY002OH","5s3p","Elliott silt loam, bedrock substratum, 0 to 2 percent slopes"
251562,"F099XY007MI","5s3p","Elliott silt loam, bedrock substratum, 0 to 2 percent slopes"
251565,"F099XY003MI","5s3s","Elnora loamy fine sand, 0 to 4 percent slopes"
251565,"F139XY004OH","5s3s","Elnora loamy fine sand, 0 to 4 percent slopes"
251565,"F099XY003MI","1qx4j","Elnora loamy fine sand, 0 to 4 percent slopes"
251569,"F139XY011OH","5s3x","Fries silty clay loam, 0 to 1 percent slopes"
251569,"F099XY013MI","5s3x","Fries silty clay loam, 0 to 1 percent slopes"
251573,"F139XY002OH","5s41","Haskins loam, 0 to 2 percent slopes"
251573,"F099XY007MI","5s41","Haskins loam, 0 to 2 percent slopes"
251574,"F099XY009MI","5s42","Holly silt loam, 0 to 1 percent slopes, occasionally flooded"
251574,"F099XY009MI","1qx4m","Holly silt loam, 0 to 1 percent slopes, occasionally flooded"
251574,"F139XY009OH","5s42","Holly silt loam, 0 to 1 percent slopes, occasionally flooded"
251576,"F099XY007MI","5s44","Hornell silt loam, 2 to 6 percent slopes"
251576,"F139XY004OH","5s44","Hornell silt loam, 2 to 6 percent slopes"
251578,"F099XY007MI","5s46","Jimtown loam, 0 to 2 percent slopes"
251578,"F099XY007MI","1qx4p","Jimtown loam, 0 to 2 percent slopes"
251578,"F139XY002OH","5s46","Jimtown loam, 0 to 2 percent slopes"
251580,"F139XY002OH","5s48","Kibbie fine sandy loam, 0 to 2 percent slopes"
251580,"F099XY007MI","1qx4q","Kibbie fine sandy loam, 0 to 2 percent slopes"
251580,"F099XY007MI","5s48","Kibbie fine sandy loam, 0 to 2 percent slopes"
251584,"F099XY013MI","5s4d","Mermill silty clay loam, 0 to 1 percent slopes"
251584,"F139XY011OH","5s4d","Mermill silty clay loam, 0 to 1 percent slopes"
251585,"F139XY011OH","5s4f","Milford silty clay loam, 0 to 1 percent slopes"
251585,"F099XY013MI","5s4f","Milford silty clay loam, 0 to 1 percent slopes"
251586,"F139XY011OH","5s4g","Millgrove loam, 0 to 1 percent slopes"
251586,"F099XY013MI","5s4g","Millgrove loam, 0 to 1 percent slopes"
251592,"F099XY007MI","5s4n","Mitiwanga silt loam, 0 to 2 percent slopes"
251592,"F139XY004OH","5s4n","Mitiwanga silt loam, 0 to 2 percent slopes"
251593,"F099XY007MI","5s4p","Mitiwanga silt loam, 2 to 6 percent slopes"
251593,"F139XY004OH","5s4p","Mitiwanga silt loam, 2 to 6 percent slopes"
251595,"F139XY003OH","5s4r","Oakville loamy fine sand, 0 to 6 percent slopes"
251595,"F099XY004MI","5s4r","Oakville loamy fine sand, 0 to 6 percent slopes"
251597,"F099XY008MI","5s4t","Orrville silt loam, bedrock substratum, 0 to 2 percent slopes, occasionally flooded"
251597,"F139XY008OH","5s4t","Orrville silt loam, bedrock substratum, 0 to 2 percent slopes, occasionally flooded"
251597,"F099XY008MI","1qx4v","Orrville silt loam, bedrock substratum, 0 to 2 percent slopes, occasionally flooded"
251598,"F139XY008OH","5s4v","Orrville silt loam, bedrock substratum, 0 to 2 percent slopes, frequently flooded"
251598,"F099XY008MI","5s4v","Orrville silt loam, bedrock substratum, 0 to 2 percent slopes, frequently flooded"
251598,"F099XY008MI","1qx4w","Orrville silt loam, bedrock substratum, 0 to 2 percent slopes, frequently flooded"
251599,"F139XY003OH","5s4w","Oshtemo loamy sand, 0 to 6 percent slopes"
251599,"F099XY007MI","1qx4x","Oshtemo loamy sand, 0 to 6 percent slopes"
251599,"F099XY007MI","5s4w","Oshtemo loamy sand, 0 to 6 percent slopes"
251600,"F099XY013MI","5s4x","Pewamo silty clay loam, 0 to 1 percent slopes"
251600,"F139XY011OH","5s4x","Pewamo silty clay loam, 0 to 1 percent slopes"
251604,"F139XY002OH","5s50","Plumbrook fine sandy loam, 0 to 2 percent slopes"
251604,"F099XY007MI","5s50","Plumbrook fine sandy loam, 0 to 2 percent slopes"
251606,"F099XY007MI","5s52","Rawson sandy loam, 0 to 2 percent slopes"
251606,"F139XY002OH","5s52","Rawson sandy loam, 0 to 2 percent slopes"
251607,"F139XY002OH","5s53","Rawson sandy loam, 2 to 6 percent slopes"
251607,"F099XY007MI","5s53","Rawson sandy loam, 2 to 6 percent slopes"
251608,"F099XY003MI","5s54","Rimer loamy fine sand, 0 to 2 percent slopes"
251608,"F139XY002OH","5s54","Rimer loamy fine sand, 0 to 2 percent slopes"
251614,"F099XY007MI","5s5b","Shinrock silt loam, 2 to 6 percent slopes"
251614,"F139XY002OH","5s5b","Shinrock silt loam, 2 to 6 percent slopes"
251615,"F139XY002OH","5s5c","Shinrock silty clay loam, 6 to 12 percent slopes, eroded"
251615,"F099XY007MI","5s5c","Shinrock silty clay loam, 6 to 12 percent slopes, eroded"
251616,"F099XY007MI","5s5d","Shinrock silty clay loam, 12 to 18 percent slopes, eroded"
251616,"F139XY002OH","5s5d","Shinrock silty clay loam, 12 to 18 percent slopes, eroded"
251617,"F099XY004MI","1qx4z","Spinks loamy fine sand, 0 to 6 percent slopes"
251617,"F139XY003OH","5s5f","Spinks loamy fine sand, 0 to 6 percent slopes"
251617,"F099XY004MI","5s5f","Spinks loamy fine sand, 0 to 6 percent slopes"
251618,"F099XY004MI","5s5g","Spinks loamy fine sand, 12 to 18 percent slopes"
251618,"F139XY002OH","5s5g","Spinks loamy fine sand, 12 to 18 percent slopes"
251619,"F139XY008OH","5s5h","Tioga loam, 0 to 2 percent slopes, occasionally flooded"
251619,"F099XY008MI","5s5h","Tioga loam, 0 to 2 percent slopes, occasionally flooded"
251624,"F099XY007MI","5s5n","Tuscola fine sandy loam, 2 to 6 percent slopes"
251624,"F139XY002OH","5s5n","Tuscola fine sandy loam, 2 to 6 percent slopes"
251626,"F099XY004MI","5s5p","Udipsamments-Spinks complex, 0 to 6 percent slopes"
251626,"F139XY003OH","5s5p","Udipsamments-Spinks complex, 0 to 6 percent slopes"
251632,"F139XY002OH","5s5x","Zurich silt loam, 6 to 12 percent slopes, eroded"
251632,"F099XY007MI","5s5x","Zurich silt loam, 6 to 12 percent slopes, eroded"
251633,"F099XY007MI","5s5y","Zurich silt loam, 12 to 18 percent slopes, eroded"
251633,"F139XY002OH","5s5y","Zurich silt loam, 12 to 18 percent slopes, eroded"
251635,"F139XY002OH","5s60","Zurich silt loam, 25 to 40 percent slopes"
251635,"F099XY007MI","5s60","Zurich silt loam, 25 to 40 percent slopes"
288457,"F139XY002OH","5s2s","Amanda-Dekalb-Rock outcrop association, 40 to 70 percent slopes"
288457,"F099XY007MI","5s2s","Amanda-Dekalb-Rock outcrop association, 40 to 70 percent slopes"
265304,"R097XB046IL","28s92","Martinton silt loam, 0 to 2 percent slopes"
265304,"F098XB033IN","5wp1","Martinton silt loam, 0 to 2 percent slopes"
265304,"F098XB033IN","8syf","Martinton silt loam, 0 to 2 percent slopes"
265304,"F098XB033IN","17dds","Martinton silt loam, 0 to 2 percent slopes"
265304,"F098XB033IN","11x4j","Martinton silt loam, 0 to 2 percent slopes"
265332,"R097XB046IL","28sbn","Mundelein silt loam, 0 to 2 percent slopes"
265332,"F098XB033IN","5wpy","Mundelein silt loam, 0 to 2 percent slopes"
265368,"R097XB046IL","28sh3","Orthents, clayey, undulating"
265368,"F098XB033IN","128kb","Orthents, clayey, undulating"
267885,"F097XA004MI","67pd","Oakville fine sand, 0 to 6 percent slopes"
267885,"F097XB033IN","67pd","Oakville fine sand, 0 to 6 percent slopes"
267886,"F097XB033IN","67pf","Oakville fine sand, 6 to 18 percent slopes"
267886,"F097XA004MI","67pf","Oakville fine sand, 6 to 18 percent slopes"
267887,"F097XA010MI","67pg","Oakville fine sand, 18 to 45 percent slopes"
267887,"F097XB040IN","67pg","Oakville fine sand, 18 to 45 percent slopes"
267921,"F097XB035IN","67qc","Rimer loamy fine sand, 0 to 4 percent slopes"
267921,"F097XA012MI","67qc","Rimer loamy fine sand, 0 to 4 percent slopes"
267923,"F097XA027MI","67qd","Cohoctah sandy loam"
267923,"F097XB049IN","67qd","Cohoctah sandy loam"
267924,"R097XB036IN","67qg","Belleville loamy fine sand"
267924,"F097XA008MI","67qg","Belleville loamy fine sand"
267925,"R097XB046IL","67qh","Kibbie loam, 0 to 3 percent slopes"
267925,"F097XA022MI","67qh","Kibbie loam, 0 to 3 percent slopes"
267930,"F097XB041IN","67ql","Morley silt loam, 18 to 25 percent slopes"
267930,"F097XA017MI","67ql","Morley silt loam, 18 to 25 percent slopes"
267931,"F097XA022MI","67qm","Blount loam, 0 to 4 percent slopes"
267931,"R097XB046IL","67qm","Blount loam, 0 to 4 percent slopes"
267935,"F097XA030MI","67qn","Aquents and Histosols, ponded"
267935,"R097XB051IL","67qn","Aquents and Histosols, ponded"
267942,"F097XB049IN","67qx","Houghton-Kerston mucks"
267941,"F097XB049IN","67qx","Houghton-Kerston mucks"
267942,"F097XA027MI","67qx","Houghton-Kerston mucks"
267941,"F097XA027MI","67qx","Houghton-Kerston mucks"
267943,"F097XB044MI","67qy","Abscota sandy loam, 0 to 6 percent slopes"
267943,"F097XA025MI","67qy","Abscota sandy loam, 0 to 6 percent slopes"
267947,"F097XA012MI","67r2","Thetford loamy sand, 0 to 2 percent slopes"
267947,"F097XB035IN","67r2","Thetford loamy sand, 0 to 2 percent slopes"
267956,"F097XA012MI","67r9","Selfridge loamy sand, 0 to 3 percent slopes"
267956,"F097XB035IN","67r9","Selfridge loamy sand, 0 to 3 percent slopes"
267959,"F097XB040IN","67rb","Udorthents and Udipsamments, 18 to 90 percent slopes"
267959,"F097XA010MI","67rb","Udorthents and Udipsamments, 18 to 90 percent slopes"
267961,"F097XB044MI","67rd","Shoals silt loam, 0 to 2 percent slopes"
267961,"F097XA025MI","67rd","Shoals silt loam, 0 to 2 percent slopes"
267964,"F097XA012MI","67rf","Granby-Morocco complex, 0 to 3 percent slopes"
267963,"F097XA008MI","67rf","Granby-Morocco complex, 0 to 3 percent slopes"
267963,"R097XB036IN","67rf","Granby-Morocco complex, 0 to 3 percent slopes"
267964,"F097XB035IN","67rf","Granby-Morocco complex, 0 to 3 percent slopes"
1083541,"F097XA004MI","67rg","Plainfield-Urban land complex, 0 to 3 percent slopes"
1083541,"F097XB033IN","67rg","Plainfield-Urban land complex, 0 to 3 percent slopes"
267967,"F097XA012MI","67rj","Thetford-Urban land complex, 0 to 3 percent slopes"
267967,"F097XB035IN","67rj","Thetford-Urban land complex, 0 to 3 percent slopes"
267974,"F097XA012MI","67rm","Rimer-Urban land complex, 0 to 4 percent slopes"
267974,"F097XB035IN","67rm","Rimer-Urban land complex, 0 to 4 percent slopes"
267987,"F097XB049IN","67rt","Cohoctah-Urban land complex"
267987,"F097XA027MI","67rt","Cohoctah-Urban land complex"
268269,"F098XA004MI","680k","Glendora mucky sand"
268269,"F096XB026MI","680k","Glendora mucky sand"
268269,"F094AA012MI","680k","Glendora mucky sand"
268269,"F097XA027MI","680k","Glendora mucky sand"
268271,"F097XA012MI","6820","Cosad loamy sand, 0 to 3 percent slopes"
