"","muiid","LRU","ncnesoil30m","MLRA.value","MLRA.total","Value","Count","percentmlra","pmlra","mu.total","affinity","best","ofbest"
"2826",172170,"111B",172170,91,30978541,84927,299,0.000965184254481191,0.000965184254481191,0.0475650520132539,2.029187846178,67.5038955702697,3.00603073205704
"2835",172173,"111",172173,79,60797146,84819,146,0.000240142851442402,0.000240142851442402,0.0283820758119767,0.846107427213148,97.2742992919902,0.869816008310037
"2836",172173,"111B",172173,91,30978541,85031,5,1.61402049244346e-05,1.61402049244346e-05,0.0283820758119767,0.0568675985201327,97.2742992919902,0.0584610723840139
"2841",172175,"111B",172175,91,30978541,84907,402,0.00129767247592454,0.00129767247592454,0.0321501780260542,4.0362839511275,95.9637160488725,4.20605215941398
"2843",172176,"111",172176,79,60797146,84852,248,0.000407913884641888,0.000407913884641888,0.0128164236290127,3.18274345831148,86.8332974525628,3.6653490673324
"2844",172176,"111B",172176,91,30978541,84919,152,0.000490662229702813,0.000490662229702813,0.0128164236290127,3.82838648210797,86.8332974525628,4.40889220428306
"2848",172177,"111B",172177,91,30978541,84931,274,0.000884483229859018,0.000884483229859018,0.0146037286080925,6.05655756550344,54.7711439801241,11.0579351194514
"2851",172178,"111",172178,79,60797146,84848,408,0.000671084132797944,0.000671084132797944,0.018237457589733,3.67970222546665,95.1509411862875,3.86722630337675
"2852",172178,"111B",172178,91,30978541,84878,26,8.39290656070601e-05,8.39290656070601e-05,0.018237457589733,0.460201566989846,95.1509411862875,0.483654245824914
"2855",172179,"111B",172179,91,30978541,85013,194,0.000626239951068064,0.000626239951068064,0.0207957071540948,3.01139050683714,96.9886094931629,3.10489089654329
"2857",172180,"111B",172180,91,30978541,84991,717,0.00231450538616393,0.00231450538616393,0.0204820403606024,11.3001700290364,88.6998299709636,12.7397877005351
"2859",172181,"111B",172181,91,30978541,85006,104,0.00033571626242824,0.00033571626242824,0.00434413056557884,7.72804263960947,92.2719573603905,8.37528850658897
"2869",172187,"111",172187,79,60797146,84890,82,0.000134874752179979,0.000134874752179979,0.0210046442004007,0.642118718570849,96.1971351575375,0.667502953720276
"2872",172188,"111",172188,79,60797146,84833,38,6.25029339370634e-05,6.25029339370634e-05,0.00555758765722731,1.12464144143156,91.1182851528774,1.23426537225173
