"ES","MLRARSYM","Series","coiid","muname"
"F111BY404IN","111B","Oshtemo",271520,"Oshtemo loamy sand, 3 to 7 percent slopes"
"F111BY404IN","111B","Oshtemo",243223,"Oshtemo sandy loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Oshtemo",243221,"Oshtemo fine sandy loam, loamy substratum, 2 to 6 percent slopes"
"F111BY404IN","111B","Oshtemo",245353,"Oshtemo loamy sand, 2 to 6 percent slopes"
"F111BY404IN","111B","Oshtemo",271519,"Oshtemo loamy sand, 0 to 3 percent slopes"
"F111BY404IN","111B","Oshtemo",245354,"Oshtemo loamy sand, 6 to 12 percent slopes"
"F111BY404IN","111B","Oshtemo",237636,"Oshtemo sandy loam, 0 to 6 percent slopes"
"F111BY404IN","111B","Oshtemo",240098,"Oshtemo sandy loam, 0 to 2 percent slopes"
NA,"111B","Otisville",245108,"Otisville gravelly sandy loam, 2 to 6 percent slopes"
NA,"111B","Ottokee",245356,"Ottokee fine sand, 0 to 6 percent slopes"
"F111BY503IN","111B","Owosso",275708,"Owosso-Miami complex, 2 to 6 percent slopes"
"F111BY503IN","111B","Pacer",251501,"Pacer silt loam, 0 to 2 percent slopes"
"R111BY001IN","111B","Palms",243806,"Palms muck, drained"
"R111BY001IN","111B","Palms",884032,"Palms muck, undrained"
"R111BY001IN","111B","Palms",275712,"Palms muck"
"R111BY001IN","111B","Palms",240100,"Palms muck, sandy substratum, undrained"
"R111BY001IN","111B","Palms",243806,"Palms muck, drained, 0 to 1 percent slopes"
"R111BY001IN","111B","Palms",271524,"Palms muck, 0 to 3 percent slopes"
"R111BY001IN","111B","Palms",240101,"Palms muck, sandy substratum, drained"
NA,"111B","Palms variant",239159,"Palms variant muck, drained"
"F111BY501IN","111B","Pandora",245109,"Pandora silty clay loam"
"F111BY501IN","111B","Pandora",247377,"Pandora silty clay loam"
"F111BY501IN","111B","Pandora",248082,"Pandora silt loam"
"F111BY503IN","111B","Parr",250019,"Parr silt loam, 1 to 4 percent slopes"
"F111BY101IN","111B","Patton",239339,"Patton silty clay loam"
"F111BY101IN","111B","Patton",239340,"Patton silty clay loam, sandy substratum"
"F111BY101IN","111B","Patton",246430,"Patton silty clay loam"
"F111BY101IN","111B","Patton",250022,"Patton silt loam"
"F111BY101IN","111B","Patton",251156,"Patton silty clay loam, loamy substratum, 0 to 1 percent slopes"
"F111BY101IN","111B","Patton",240513,"Patton silty clay loam"
"F111BY102IN","111B","Patton",239339,"Patton silty clay loam"
"F111BY102IN","111B","Patton",239340,"Patton silty clay loam, sandy substratum"
"F111BY102IN","111B","Patton",246430,"Patton silty clay loam"
"F111BY102IN","111B","Patton",250022,"Patton silt loam"
"F111BY102IN","111B","Patton",251156,"Patton silty clay loam, loamy substratum, 0 to 1 percent slopes"
"F111BY102IN","111B","Patton",240513,"Patton silty clay loam"
NA,"111B","Patton Variant",250023,"Patton Variant silt loam"
"F111BY501IN","111B","Paulding",250024,"Paulding clay"
"F111BY501IN","111B","Paulding",247378,"Paulding clay"
"F111BY501IN","111B","Paulding",250098,"Paulding clay"
"F111BY501IN","111B","Paulding",245202,"Paulding silty clay"
"R111BY401IN","111B","Pella",239160,"Pella silty clay loam"
"R111BY401IN","111B","Pella",239231,"Pella mucky silty clay loam, sandy substratum"
"R111BY401IN","111B","Pella",239230,"Pella silty clay loam, till substratum"
"R111BY401IN","111B","Pella",243333,"Pella silty clay loam, 0 to 1 percent slopes"
"F111BY501IN","111B","Pewamo",2246279,"Pewamo silty clay loam, 0 to 1 percent slopes"
"F111BY501IN","111B","Pewamo",2399627,"Pewamo clay loam, 0 to 2 percent slopes"
"F111BY501IN","111B","Pewamo",2246299,"Pewamo-Urban land complex, 0 to 2 percent slopes"
"F111BY501IN","111B","Pewamo",2246282,"Pewamo silty clay, 0 to 2 percent slopes"
"F111BY501IN","111B","Pewamo",243225,"Pewamo mucky silty clay loam"
"F111BY501IN","111B","Pewamo",241461,"Urban land-Pewamo complex"
"F111BY501IN","111B","Pewamo",243360,"Urban land-Blount-Pewamo complex, 0 to 2 percent slopes"
"F111BY501IN","111B","Pewamo",245110,"Pewamo silty clay loam"
"F111BY501IN","111B","Pewamo",247470,"Pewamo silt loam, overwash"
"F111BY501IN","111B","Pewamo",251600,"Pewamo silty clay loam, 0 to 1 percent slopes"
"F111BY501IN","111B","Pewamo",271667,"Pewamo silt loam"
"F111BY501IN","111B","Pewamo",248025,"Pewamo silty clay loam, ponded"
"F111BY501IN","111B","Pewamo",1974588,"Urban land-Typic Endoaquents-Pewamo complex, 0 to 3 percent slopes"
"F111BY501IN","111B","Pewamo",237637,"Pewamo silty clay"
"F111BY501IN","111B","Pewamo",271376,"Blount loam and Pewamo clay loam, 0 to 3 percent slopes"
"F111BY501IN","111B","Pewamo",239069,"Pewamo silt loam, overwash"
"F111BY501IN","111B","Pewamo",248178,"Pewamo silt loam"
"F111BY501IN","111B","Pewamo",271526,"Pewamo mucky clay loam, 0 to 3 percent slopes"
NA,"111B","Pewamo Variant",246432,"Pewamo variant muck"
NA,"111B","Pits",283347,"Pits, gravel"
NA,"111B","Pits",241448,"Pits"
NA,"111B","Pits",245033,"Pits, quarry"
NA,"111B","Pits",246122,"Pits, gravel"
NA,"111B","Pits",247474,"Pits, gravel"
NA,"111B","Pits",248027,"Pits, gravel"
NA,"111B","Pits",248084,"Pits, quarries"
NA,"111B","Pits",248180,"Pits, gravel"
NA,"111B","Pits",250096,"Pits, gravel"
NA,"111B","Pits",250097,"Pits, quarry"
NA,"111B","Pits",251503,"Pits, gravel"
NA,"111B","Pits",251526,"Udorthents-Pits complex"
NA,"111B","Pits",283347,"Pits, Gravel"
NA,"111B","Pits",924298,"Pits, quarry"
NA,"111B","Pits, gravel",243335,"Pits, gravel"
NA,"111B","Pits, gravel",246433,"Pits, gravel"
NA,"111B","Pits, gravel",247380,"Pits, gravel"
NA,"111B","Pits, gravel",250026,"Pits, gravel"
NA,"111B","Pits, gravel",251160,"Pits, gravel"
NA,"111B","Pits, lime",251161,"Pits, lime"
NA,"111B","Pits, quarries",250027,"Pits, quarries"
NA,"111B","Pits, quarries, limestone",280534,"Pits, quarry"
NA,"111B","Pits, quarries, limestone",280534,"Pits, Quarries, Limestone"
NA,"111B","Pits, quarry",243337,"Pits, quarry"
NA,"111B","Pits, quarry",246434,"Pits, quarry"
NA,"111B","Pits, quarry",247381,"Pits, quarry"
NA,"111B","Pits, quarry",251162,"Pits, quarry"
NA,"111B","Plainfield",237913,"Plainfield fine sand, 0 to 2 percent slopes"
NA,"111B","Plainfield",243227,"Plainfield fine sand, moderately fine substratum, 2 to 6 percent slopes"
NA,"111B","Plainfield",243228,"Plainfield fine sand, moderately fine substratum, 6 to 12 percent slopes"
NA,"111B","Plainfield",271529,"Plainfield and Berrien loamy sands, 3 to 7 percent slopes"
NA,"111B","Plainfield",271531,"Plainfield and Ottawa loamy sands, 0 to 3 percent slopes"
NA,"111B","Plainfield",271532,"Plainfield and Ottawa loamy sands, 3 to 7 percent slopes"
NA,"111B","Plainfield",271533,"Plainfield and Ottawa loamy sands, 3 to 7 percent slopes, moderately eroded"
NA,"111B","Plainfield",271534,"Plainfield and Ottawa loamy sands, 7 to 15 percent slopes"
NA,"111B","Plainfield",271535,"Plainfield and Ottawa loamy sands, 7 to 15 percent slopes, moderately eroded"
NA,"111B","Quarries",248028,"Quarries"
NA,"111B","Quarries",245204,"Quarries"
NA,"111B","Quarry",245283,"Quarry"
"F111BY302IN","111B","Randolph",239234,"Randolph silt loam, 0 to 2 percent slopes"
"F111BY302IN","111B","Randolph",248085,"Randolph silt loam, 0 to 2 percent slopes"
"F111BY302IN","111B","Randolph",247382,"Randolph silt loam, 0 to 3 percent slopes"
"F111BY302IN","111B","Randolph",239344,"Randolph loam, 0 to 2 percent slopes"
"F111BY302IN","111B","Randolph",924306,"Randolph silt loam, 0 to 2 percent slopes"
"F111BY302IN","111B","Randolph",239164,"Randolph silt loam, 0 to 2 percent slopes"
"F111BY503IN","111B","Rawson",237916,"Rawson loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",239166,"Rawson sandy loam, 0 to 2 percent slopes"
"F111BY503IN","111B","Rawson",243343,"Rawson loam, 1 to 5 percent slopes"
"F111BY503IN","111B","Rawson",243229,"Rawson fine sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",245331,"Haney-Rawson sandy loams, 1 to 6 percent slopes"
"F111BY503IN","111B","Rawson",248029,"Rawson loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",246123,"Rawson sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",243238,"Rawson loam, 6 to 12 percent slopes, moderately eroded"
"F111BY503IN","111B","Rawson",245333,"Haney-Rawson sandy loams, 6 to 12 percent slopes"
"F111BY503IN","111B","Rawson",240107,"Rawson sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",240109,"Rawson sandy loam, 6 to 12 percent slopes"
"F111BY503IN","111B","Rawson",239168,"Rawson sandy loam, 2 to 6 percent slopes, eroded"
"F111BY503IN","111B","Rawson",239238,"Rawson fine sandy loam, 6 to 12 percent slopes"
"F111BY503IN","111B","Rawson",237816,"Rawson loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",242359,"Rawson loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",245362,"Rawson loam, 6 to 12 percent slopes"
"F111BY503IN","111B","Rawson",237803,"Morley, Miami, and Rawson loams, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Rawson",246281,"Rawson sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",243235,"Rawson loam, 2 to 6 percent slopes, moderately eroded"
"F111BY503IN","111B","Rawson",237813,"Rawson loam, 0 to 2 percent slopes"
"F111BY503IN","111B","Rawson",237810,"Rawson sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",239346,"Rawson fine sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",239170,"Rawson sandy loam, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Rawson",243232,"Rawson loam, 0 to 2 percent slopes"
"F111BY503IN","111B","Rawson",245284,"Rawson loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",245360,"Rawson sandy loam, 6 to 12 percent slopes"
"F111BY503IN","111B","Rawson",248086,"Rawson loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",245359,"Rawson sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",245361,"Rawson loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",240104,"Rawson sandy loam, 0 to 2 percent slopes"
"F111BY503IN","111B","Rawson",239236,"Rawson fine sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",237638,"Rawson sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Rawson",237812,"Rawson sandy loam, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Rawson",239348,"Rawson fine sandy loam, 6 to 12 percent slopes"
"R111BY401IN","111B","Rensselaer",924697,"Westland-Rensselaer complex, 0 to 1 percent slopes"
"R111BY401IN","111B","Rensselaer",252558,"Westland-Rensselaer complex, 0 to 1 percent slopes"
"R111BY401IN","111B","Rensselaer",889718,"Rensselaer loam, till substratum, 0 to 1 percent slopes"
"R111BY401IN","111B","Rensselaer",889719,"Rensselaer silt loam, 0 to 1 percent slopes"
"R111BY401IN","111B","Rensselaer",243240,"Rensselaer mucky silty clay loam"
"R111BY401IN","111B","Rensselaer",243241,"Rensselaer silt loam"
NA,"111B","Rensselaer, till substratum",924320,"Rensselaer loam, till substratum, 0 to 1 percent slopes"
"F111BY503IN","111B","Riddles",271688,"Riddles sandy loam, 18 to 35 percent slopes"
"F111BY503IN","111B","Riddles",239174,"Riddles loam, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Riddles",239172,"Riddles loam, 0 to 2 percent slopes"
"F111BY503IN","111B","Riddles",240113,"Riddles sandy loam, 6 to 12 percent slopes"
"F111BY503IN","111B","Riddles",239173,"Riddles loam, 2 to 6 percent slopes, eroded"
"F111BY502IN","111B","Rimer",247299,"Rimer loamy fine sand, 1 to 4 percent slopes"
"F111BY502IN","111B","Rimer",245363,"Rimer loamy fine sand, 0 to 3 percent slopes"
"F111BY502IN","111B","Rimer",248087,"Rimer loamy sand, 0 to 2 percent slopes"
"F111BY303IN","111B","Ritchey",247383,"Ritchey silt loam, 1 to 6 percent slopes"
"F111BY303IN","111B","Ritchey",247384,"Ritchey silt loam, 6 to 12 percent slopes"
"F111BY303IN","111B","Ritchey",245035,"Ritchey silt loam, 12 to 18 percent slopes, eroded"
"F111BY303IN","111B","Ritchey",245034,"Ritchey silt loam, 2 to 6 percent slopes"
"R111BY402IN","111B","Rodman",250028,"Rodman-Casco complex, 18 to 25 percent slopes"
"R111BY402IN","111B","Rodman",239175,"Rodman gravelly loam, 25 to 50 percent slopes"
"R111BY002IN","111B","Rollin",271537,"Rollin muck, 0 to 3 percent slopes"
"F111BY202IN","111B","Ross",239240,"Ross loam, frequently flooded"
"F111BY202IN","111B","Ross",243340,"Ross-Lash loams, 0 to 1 percent slopes, frequently flooded, brief duration"
"F111BY202IN","111B","Ross",245205,"Ross silt loam"
"F111BY202IN","111B","Rossburg",251507,"Rossburg silt loam, 0 to 2 percent slopes, occasionally flooded"
"F111BY202IN","111B","Rossburg",251508,"Rossburg-Sloan complex, 0 to 2 percent slopes, occasionally flooded"
"R111BY001IN","111B","Roundhead",246435,"Roundhead muck"
"R111BY001IN","111B","Roundhead",251166,"Roundhead muck, loamy substratum, 0 to 1 percent slopes"
"F111BY201IN","111B","Saranac",2723056,"Saranac silty clay, 0 to 2 percent slopes, frequently flooded"
"F111BY201IN","111B","Saranac",251168,"Saranac silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded"
"F111BY201IN","111B","Saranac",1974567,"Saranac-Spencerville silty clay loams, 0 to 1 percent slopes, frequently flooded"
"F111BY201IN","111B","Saranac",2723055,"Saranac silty clay loam, 0 to 2 percent slopes, frequently flooded"
"F111BY201IN","111B","Saranac",240638,"Saranac clay loam, stratified  substratum, occasionally flooded"
"F111BY201IN","111B","Saranac",240114,"Saranac silty clay loam, sandy substratum, frequently flooded"
"F111BY201IN","111B","Saranac",238647,"Saranac clay loam, gravelly substratum, occasionally flooded"
"F111BY404IN","111B","Scioto",251511,"Scioto silt loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Scioto",251512,"Scioto silty clay loam, 6 to 12 percent slopes, eroded"
"F111BY404IN","111B","Scioto",251513,"Scioto silt loam, 0 to 2 percent slopes, rarely flooded"
"F111BY404IN","111B","Scioto",251510,"Scioto silt loam, 0 to 2 percent slopes"
"R111BY401IN","111B","Sebewa",2246273,"Sebewa loam, disintegration moraine, 0 to 2 percent slopes"
"R111BY401IN","111B","Sebewa",2246270,"Sebewa loam, disintegration moraine, 0 to 1 percent slopes"
"R111BY401IN","111B","Sebewa",239177,"Sebewa-Milford complex"
"F111BY102IN","111B","Sebring",248089,"Sebring silt loam"
"F111BY101IN","111B","Sebring",248089,"Sebring silt loam"
NA,"111B","Sewage lagoons",1188808,"Sewage lagoons"
"F111BY503IN","111B","Seward",240116,"Seward loamy fine sand, 2 to 6 percent slopes"
"F111BY503IN","111B","Seward",245369,"Seward loamy fine sand, 2 to 6 percent slopes"
"F111BY503IN","111B","Seward",248065,"Haskins-Seward complex, 2 to 6 percent slopes"
"F111BY503IN","111B","Seward",251169,"Seward loamy fine sand, deep phase, 0 to 5 percent slopes"
"F111BY503IN","111B","Seward",240117,"Seward loamy fine sand, 6 to 15 percent slopes"
"F111BY503IN","111B","Seward",275720,"Seward sandy loam, loamy subsoil variant, 2 to 6 percent slopes"
"F111BY503IN","111B","Seward",248090,"Seward loamy fine sand, 0 to 2 percent slopes"
"F111BY503IN","111B","Seward",248091,"Seward loamy fine sand, 2 to 6 percent slopes"
"F111BY503IN","111B","Seward",275718,"Seward loamy fine sand, 2 to 6 percent slopes"
"F111BY503IN","111B","Seward",275719,"Seward loamy fine sand, 6 to 12 percent slopes"
"F111BY503IN","111B","Shawtown",1183800,"Shawtown loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Shawtown",924367,"Shawtown loam, 0 to 2 percent slopes"
"F111BY503IN","111B","Shawtown",924375,"Shawtown loam, 2 to 6 percent slopes"
NA,"111B","Shinrock",245370,"Shinrock silt loam, 2 to 6 percent slopes"
NA,"111B","Shinrock",246437,"Shinrock silt loam, 2 to 6 percent slopes"
NA,"111B","Shinrock",247385,"Shinrock silt loam, 2 to 6 percent slopes, eroded"
NA,"111B","Shinrock",247386,"Shinrock silt loam, 6 to 12 percent slopes, eroded"
NA,"111B","Shinrock",247387,"Shinrock-Martinsville complex, 6 to 12 percent slopes, eroded"
NA,"111B","Shinrock",247389,"Shinrock-Martinsville complex, 12 to 18 percent slopes, eroded"
NA,"111B","Shinrock",250040,"Shinrock silt loam, 2 to 6 percent slopes"
NA,"111B","Shinrock",250043,"Shinrock silt loam, 6 to 12 percent slopes"
NA,"111B","Shinrock",250104,"Shinrock silt loam, 2 to 6 percent slopes"
NA,"111B","Shinrock",250105,"Shinrock silt loam, 6 to 12 percent slopes, eroded"
NA,"111B","Shinrock",924396,"Shinrock silty clay loam, 6 to 12 percent slopes, eroded"
NA,"111B","Shinrock",924389,"Shinrock silt loam, 2 to 6 percent slopes"
NA,"111B","Shinrock, till substratum",924404,"Shinrock, till substratum-Glynwood complex, 1 to 4 percent slopes"
NA,"111B","Shinrock, till substratum",924032,"Jenera-Shinrock, till substratum complex, 1 to 4 percent slopes"
"F111BY203IN","111B","Shoals",237830,"Shoals silt loam"
"F111BY203IN","111B","Shoals",1974521,"Shoals silty clay loam, 0 to 1 percent slopes, frequently flooded"
"F111BY203IN","111B","Shoals",2246267,"Shoals loam, 0 to 2 percent slopes, frequently flooded"
"F111BY203IN","111B","Shoals",243248,"Shoals silty clay loam"
"F111BY203IN","111B","Shoals",242363,"Shoals clay loam, frequently flooded"
"F111BY203IN","111B","Shoals",889723,"Shoals silt loam, till substratum, 0 to 1 percent slopes, occasionally flooded"
"F111BY203IN","111B","Shoals",238652,"Shoals loam, gravelly substratum, occasionally flooded"
"F111BY203IN","111B","Shoals",247391,"Shoals silt loam, rarely flooded"
"F111BY203IN","111B","Shoals",240118,"Shoals silt loam, sandy substratum, frequently flooded"
"F111BY404IN","111B","Sisson",275723,"Sisson fine sandy loam, 6 to 12 percent slopes"
"F111BY404IN","111B","Sisson",275721,"Sisson fine sandy loam, 2 to 6 percent slopes"
"F111BY403IN","111B","Sleeth",246438,"Sleeth silt loam, 0 to 3 percent slopes"
"F111BY403IN","111B","Sleeth",245223,"Sleeth silt loam, 0 to 2 percent slopes"
"F111BY403IN","111B","Sleeth",250049,"Sleeth silt loam, 0 to 2 percent slopes"
"F111BY403IN","111B","Sleeth",251174,"Sleeth silt loam, 0 to 2 percent slopes"
"F111BY403IN","111B","Sleeth",240522,"Sleeth loam"
"F111BY403IN","111B","Sleeth",250106,"Sleeth loam, 0 to 3 percent slopes"
"F111BY201IN","111B","Sloan",2645155,"Sloan silt loam, 0 to 1 percent slopes, frequently flooded"
"F111BY201IN","111B","Sloan",2645132,"Sloan silty clay loam, 0 to 1 percent slopes, frequently flooded"
"F111BY201IN","111B","Sloan",251517,"Sloan silty clay loam, till substratum, 0 to 2 percent slopes, occasionally flooded"
"F111BY201IN","111B","Sloan",250052,"Sloan silt loam"
"F111BY201IN","111B","Sloan",271441,"Griffin and Sloan sandy loams, 0 to 3 percent slopes"
"F111BY201IN","111B","Sloan",2645152,"Sloan silty clay loam, 0 to 1 percent slopes, occasionally flooded"
"F111BY201IN","111B","Sloan",889724,"Sloan silty clay loam, till substratum, 0 to 1 percent slopes, frequently flooded"
"F111BY201IN","111B","Sloan",240121,"Sloan loam, sandy substratum, frequently flooded"
"F111BY201IN","111B","Sloan",2645158,"Sloan silt loam, 0 to 1 percent slopes, occasionally flooded"
"F111BY201IN","111B","Sloan",251509,"Rossburg-Sloan complex, 0 to 2 percent slopes, occasionally flooded"
"F111BY201IN","111B","Sloan",242366,"Sloan loam, frequently flooded"
"F111BY201IN","111B","Sloan",241450,"Sloan silt loam, sandy substratum, occasionally flooded"
"F111BY201IN","111B","Sloan",271439,"Griffin and Sloan loams, 0 to 3 percent slopes"
"F111BY201IN","111B","Sloan",245373,"Sloan loam"
NA,"111B","Sloan, limestone substratum",924527,"Sloan silty clay loam, limestone substratum, 0 to 1 percent slopes, occasionally flooded"
"F111BY202IN","111B","Spencerville",1870151,"Saranac-Spencerville silty clay loams, 0 to 1 percent slopes, frequently flooded"
NA,"111B","Spinks",240122,"Spinks sand, 2 to 6 percent slopes"
NA,"111B","Spinks",240123,"Spinks sand, 6 to 15 percent slopes"
NA,"111B","Spinks",245116,"Spinks loamy fine sand, 2 to 6 percent slopes"
NA,"111B","Spinks",245375,"Spinks fine sand, 2 to 6 percent slopes"
NA,"111B","Spinks",245376,"Spinks fine sand, 6 to 18 percent slopes"
NA,"111B","Spinks",248093,"Spinks loamy sand, 2 to 6 percent slopes"
NA,"111B","Spinks",275725,"Spinks loamy sand, 0 to 6 percent slopes"
NA,"111B","Spinks",275726,"Spinks loamy sand, 6 to 12 percent slopes"
NA,"111B","Spinks",271540,"Spinks, Boyer, Plainfield, and Hillsdale soils, 3 to 7 percent slopes"
NA,"111B","Spinks",271542,"Spinks, Boyer, Plainfield, and Hillsdale soils, 3 to 7 percent slopes, moderately eroded"
NA,"111B","Spinks",271544,"Spinks, Boyer, Plainfield, and Hillsdale soils, 7 to 15 percent slopes"
NA,"111B","Spinks",271546,"Spinks, Boyer, Plainfield, and Hillsdale soils, 7 to 15 percent slopes, moderately eroded"
NA,"111B","Spinks",271548,"Spinks, Boyer, Plainfield, and Hillsdale soils, 12 to 25 percent slopes, moderately eroded"
NA,"111B","St. Clair",242361,"St. Clair clay loam, 3 to 8 percent slopes, eroded"
NA,"111B","St. Clair",243245,"St. Clair silty clay loam, 2 to 6 percent slopes, moderately eroded"
NA,"111B","St. Clair",275731,"St. Clair clay loam, 2 to 6 percent slopes"
NA,"111B","St. Clair",250032,"St. Clair silt loam, 2 to 6 percent slopes"
NA,"111B","St. Clair",250035,"St. Clair silt loam, 6 to 12 percent slopes, moderately eroded"
NA,"111B","St. Clair",250038,"St. Clair silt loam, 12 to 18 percent slopes, moderately eroded"
NA,"111B","St. Clair",250039,"St. Clair silt loam, 18 to 35 percent slopes, moderately eroded"
NA,"111B","St. Clair",271550,"St. Clair loam, 7 to 15 percent slopes"
NA,"111B","St. Clair",271552,"St. Clair loam, 7 to 15 percent slopes, moderately eroded"
NA,"111B","St. Clair",271554,"St. Clair loam, 12 to 25 percent slopes, moderately eroded"
NA,"111B","St. Clair",271558,"St. Clair loam, 25+ percent slopes, moderately eroded"
NA,"111B","St. Clair",271560,"St. Clair soils, 7 to 15 percent slopes, severely eroded"
NA,"111B","St. Clair",275733,"St. Clair clay loam, 6 to 12 percent slopes"
NA,"111B","St. Clair",245214,"St. Clair silt loam, 6 to 12 percent slopes"
NA,"111B","St. Clair",924553,"St. Clair silty clay loam, 2 to 6 percent slopes, eroded"
NA,"111B","St. Clair",924561,"St. Clair silty clay loam, 6 to 12 percent slopes, eroded"
NA,"111B","St. Clair",245208,"St. Clair silt loam, 2 to 6 percent slopes"
NA,"111B","St. Clair",245211,"St. Clair silt loam, 2 to 6 percent slopes, moderately eroded"
NA,"111B","St. Clair",245217,"St. Clair silt loam, 6 to 12 percent slopes, moderately eroded"
"F111BY403IN","111B","Stone",251521,"Stone clay loam, 0 to 2 percent slopes, rarely flooded"
"F111BY403IN","111B","Stone",251520,"Stone silty clay loam, 0 to 2 percent slopes"
"F111BY204IN","111B","Stonelick",240526,"Stonelick sandy loam"
NA,"111B","Stonelick Variant",240124,"Stonelick Variant sandy loam, occasionally flooded"
NA,"111B","Tawas",271562,"Tawas muck, 0 to 3 percent slopes"
"F111BY404IN","111B","Thackery",889728,"Thackery loam, sandy substratum, 0 to 2 percent slopes"
"F111BY404IN","111B","Thackery",889727,"Thackery sandy loam, sandy substratum, 1 to 3 percent slopes"
NA,"111B","Thackery, till substratum",924585,"Thackery loam, till substratum, 0 to 2 percent slopes"
"F111BY201IN","111B","Tice",1974531,"Tice silty clay loam, 0 to 1 percent slopes, frequently flooded"
"F111BY201IN","111B","Tice",242367,"Tice silty clay loam, frequently flooded"
NA,"111B","Tiderishi",889731,"Tiderishi loam, 0 to 2 percent slopes"
"F111BY102IN","111B","Toledo",237832,"Toledo silty clay loam"
"F111BY101IN","111B","Toledo",237832,"Toledo silty clay loam"
NA,"111B","Tuscola",239246,"Tuscola loam, loamy substratum, 1 to 6 percent slopes, eroded"
NA,"111B","Tuscola",247396,"Tuscola fine sandy loam, 2 to 6 percent slopes"
NA,"111B","Tuscola",924652,"Tuscola silt loam, 2 to 6 percent slopes"
NA,"111B","Tuscola",924616,"Tuscola loamy fine sand, 2 to 6 percent slopes"
NA,"111B","Tuscola",246138,"Tuscola very fine sandy loam, 2 to 6 percent slopes"
NA,"111B","Typic Endoaquents",1974589,"Urban land-Typic Endoaquents-Pewamo complex, 0 to 3 percent slopes"
NA,"111B","Typic Endoaquents",2082729,"Typic Endoaquents-Urban land complex, till substratum, 0 to 3 percent slopes"
NA,"111B","Udorthents",237648,"Udorthents, loamy"
NA,"111B","Udorthents",243833,"Orthents, loamy"
NA,"111B","Udorthents",243833,"Udorthents, loamy"
NA,"111B","Udorthents",239076,"Udorthents, loamy"
NA,"111B","Udorthents",243353,"Udorthents, loamy"
NA,"111B","Udorthents",245380,"Udorthents"
NA,"111B","Udorthents",247399,"Urban land-Udorthents complex"
NA,"111B","Udorthents",247481,"Udorthents, loamy, rolling"
NA,"111B","Udorthents",248035,"Udorthents, loamy"
NA,"111B","Udorthents",248096,"Udorthents, loamy"
NA,"111B","Udorthents",248186,"Udorthents"
NA,"111B","Udorthents",250053,"Udorthents"
NA,"111B","Udorthents",250108,"Udorthents, loamy"
NA,"111B","Udorthents",252533,"Udorthents, loamy, 0 to 2 percent slopes"
NA,"111B","Udorthents",251180,"Udorthents, loamy, 12 to 25 percent slopes"
NA,"111B","Udorthents",251522,"Udorthents"
NA,"111B","Udorthents",251525,"Udorthents-Pits complex"
NA,"111B","Udorthents",243354,"Udorthents, loamy-skeletal"
NA,"111B","Udorthents",924643,"Udorthents, loamy, 0 to 2 percent slopes"
NA,"111B","Udorthents",924665,"Udorthents, loamy, 2 to 25 percent slopes"
NA,"111B","Udorthents",251523,"Udorthents, clayey-Urban land complex, undulating"
NA,"111B","Udorthents, loamy",247397,"Udorthents, loamy"
NA,"111B","Urban land",243361,"Urban land-Fox complex, 1 to 6 percent slopes"
NA,"111B","Urban land",243363,"Urban land-Glynwood complex, 2 to 6 percent slopes"
NA,"111B","Urban land",241458,"Urban land-Morley complex, 6 to 15 percent slopes"
NA,"111B","Urban land",241460,"Urban land-Pewamo complex"
NA,"111B","Urban land",243358,"Urban land-Blount-Pewamo complex, 0 to 2 percent slopes"
NA,"111B","Urban land",243365,"Urban land-Millgrove complex, 0 to 1 percent slopes"
NA,"111B","Urban land",245021,"Milton-Urban land complex, 2 to 6 percent slopes"
NA,"111B","Urban land",245023,"Milton-Urban land complex, 6 to 12 percent slopes"
NA,"111B","Urban land",245381,"Urban land"
NA,"111B","Urban land",247398,"Urban land-Udorthents complex"
NA,"111B","Urban land",249930,"Crosby-Urban land complex, nearly level"
NA,"111B","Urban land",249946,"Eldean-Urban land complex, undulating"
NA,"111B","Urban land",249979,"Lippincott-Urban land complex"
NA,"111B","Urban land",249991,"Miamian-Urban land complex, undulating"
