"ncnesoil30m","MLRA.value","LRU","MLRA.total","Value","Count","percentmlra","mu.total","affinity","best","ofbest","compname","coiid","dmuiid","nationalmusym","muname","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T150_sand","T150_clay","T150_OM","T50_sand","T50_pH","flood","humicdepth","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","Site111"
188028,60,"98A1",36997771,64388,12567,0.033966911141755,0.0360403918841197,94.2467863583962,94.2467863583962,100,"Edwards",290414,145844,"69nf","Linwood muck",FALSE,10,"histosols","limnic medisaprists","Marly, euic, mesic Limnic Medisaprists","very poorly",1,81,250,2.89800008773804,10.8560001754761,50.99,0,6.19999980926514,"none",152,"organic, herbaceous material & marl",,"depression & lake plain","yes","no",0,"M2 Mucky Depression","Limnic Muck"
188028,60,"98A1",36997771,64388,12567,0.033966911141755,0.0360403918841197,94.2467863583962,94.2467863583962,100,"Carlisle",290415,145844,"69nf","Linwood muck",FALSE,10,"histosols","typic medisaprists","Euic, mesic Typic Medisaprists","very poorly",1,250,250,0,0,82.5,0,6.19999980926514,"none",152,"organic, herbaceous material",,"till plain & outwash plain & depression & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
188031,60,"98A1",36997771,64959,1538,0.00415700718835197,0.00415700718835197,100,100,100,"Edwards",2528253,754825,"2rfgy","Houghton muck, 0 to 1 percent slopes",FALSE,3,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0,23,250,11.2,9.52,41.82,0,5.87799989700317,"none",203,"organic, herbaceous material & marl",,"depression & moraine & outwash plain & depression","yes","no",0,"M2 Mucky Depression","Limnic Muck"
188031,60,"98A1",36997771,64959,1538,0.00415700718835197,0.00415700718835197,100,100,100,"Palms",2528255,754825,"2rfgy","Houghton muck, 0 to 1 percent slopes",FALSE,2,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,71,250,13.1666666666667,5.26666666666667,21.8966666666667,0,5.34600014686584,"none",71,"organic, herbaceous material & drift",,"moraine & outwash plain & till plain & depression & depression & depression & swamp & swamp & swamp & drainageway & drainageway & drainageway","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188031,60,"98A1",36997771,64959,1538,0.00415700718835197,0.00415700718835197,100,100,100,"Adrian",2528252,754825,"2rfgy","Houghton muck, 0 to 1 percent slopes",FALSE,4,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,38.4,1.28,32.6453330485026,0,5.61999988555908,"none",86,"organic, herbaceous material & glaciofluvial deposits",,"depression & moraine & outwash plain & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188031,60,"98A1",36997771,64959,1538,0.00415700718835197,0.00415700718835197,100,100,100,"Houghton",2528241,754825,"2rfgy","Houghton muck, 0 to 1 percent slopes",TRUE,90,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",0,250,250,0,0,79.3599975585937,0,5.92000007629395,"none",203,"organic, herbaceous material",,"depression & moraine & outwash plain & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
188066,60,"98A1",36997771,64368,6063,0.016387473721052,0.027730633076341,59.0952023198971,59.0952023198971,100,"Palms",2528459,796927,"2x2sy","Marlette sandy loam, 2 to 6 percent slopes",FALSE,1,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,71,250,13.1666666666667,5.26666666666667,21.8966666666667,0,5.34600014686584,"none",71,"organic, herbaceous material & drift",,"moraine & till plain & depression & depression & swamp & swamp & drainageway & drainageway","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188106,60,"98A1",36997771,64614,1622,0.0043840478930474,0.0043840478930474,100,100,100,"Linwood",2533292,755311,"2w64z","Wawasee loam, 0 to 2 percent slopes",FALSE,2,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,81,250,20.81,29.8,40.615,10,6.30000019073486,"none",81,"organic, woody material & till, unspecified",,"end moraine & ground moraine & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188107,60,"98A1",36997771,64343,18043,0.0487678027954711,0.0487678027954711,100,100,100,"Linwood",2533303,755312,"2w650","Wawasee loam, 2 to 6 percent slopes",FALSE,1,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,81,250,20.81,29.8,40.615,10,6.30000019073486,"none",81,"organic, woody material & till, unspecified",,"end moraine & ground moraine & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188109,60,"98A1",36997771,64537,1966,0.00531383363608581,0.00531383363608581,100,100,100,"Carlisle",2533315,755314,"2w652","Wawasee loam, 6 to 12 percent slopes",FALSE,1,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",0,250,250,0,0,77.8,0,5.93200006484985,"none",203,"organic, woody material",,"end moraine & ground moraine & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
